Rs_Sm3Sm3	        P_bar	            B_aq_m3Sm3	        mu_b_cP
15.1524042666896	150	                1.03801906271255	0.521467060323602
15.3727141765178	157.172110322137	1.03810283654739	0.522525252358672
15.5871821079875	164.68714842076	    1.03816690648024	0.523577155367652
15.7975398288411	172.561511068172	1.03821338227922	0.524629479903824
16.0052544073681	180.812379033076	1.03824396379444	0.525688043253914
16.21154820464	    189.457754566631	1.03825997045953	0.526757841530127
16.417439653997	    198.516500680872	1.03826240174202	0.527843193799909
16.6237851149489	208.00838230519	    1.03825199923878	0.528947889733856
16.8313147821203	217.954109410671	1.03822929998691	0.530075316424508
17.0406613638941	228.37538219638	    1.03819467908706	0.531228559962552
17.2523823054503	239.294938436198	1.03814838280002	0.532410484505509
17.4669768245469	250.736603089487	1.0380905540123	    0.533623793276606
17.6848989584262	262.725340283858	1.03802125186356	0.534871075677442
17.9065675972967	275.287307783436	1.03794046699807	0.536154843914942
18.1323742520111	288.449914061482	1.03784813356528	0.537477561744987
18.3626891141055	302.241878101881	1.03774413881374	0.538841667271992
18.5978658206137	316.693292059991	1.03762833090767	0.540249591233074
18.8382452276782	331.835686919557	1.03750052543557	0.541703771815464
19.0841584174925	347.702101288951	1.03736051096412	0.54320666677626
19.3359291050557	364.327153486839	1.03720805390568	0.544760763428595
19.593875568729	    381.747117074557	1.03704290290685	0.546368586907362
19.8583121973161	400	                1.03686479292106	0.548032707015157
19.8583121973161	440	                1.03562576082351	0.54964287345361
19.8583121973161	500	                1.03380026086901	0.552040139880261
