P_bar	            B_g_m3Sm3	        mu_g_cP
150	                0.00404826118804678	0.0346431008650352
157.172110322137	0.003813094542722	0.0367688206454531
164.68714842076	    0.00361512776273742	0.0389014121109781
172.561511068172	0.00344734210983395	0.0410199433806078
180.812379033076	0.00330368303967877	0.0431155418952741
189.457754566631	0.00317926767942566	0.0451869047289738
198.516500680872	0.0030702810159437	0.0472369552534395
208.00838230519	    0.0029737767921549	0.0492707452762546
217.954109410671	0.00288748065223961	0.0512942571392223
228.37538219638	    0.00280962703202148	0.0533137637665554
239.294938436198	0.00273883336957604	0.0553355096694324
250.736603089487	0.00267400604718831	0.0573655686962675
262.725340283858	0.00261427085797813	0.0594097958808808
275.287307783436	0.0025589216677364	0.0614738274690375
288.449914061482	0.00250738235079497	0.063563104095568
302.241878101881	0.00245917836475201	0.0656829037002955
316.693292059991	0.00241391533778251	0.0678383771533626
331.835686919557	0.00237126278622493	0.0700345830379849
347.702101288951	0.0023309416138051	0.0722765199143067
364.327153486839	0.00229271442240818	0.0745691553828823
381.747117074557	0.00225637793214695	0.0769174517778936
400	                0.00222175699842693	0.0793263885680077
440	                0.00215581773101051	0.0844512957647683
500	                0.00207582470980253	0.0918304340769293
